@relation 'Dataset-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute NestingDepth numeric
@attribute CyclomaticComplexity numeric
@attribute CodeSmells numeric
@attribute stmtAdded numeric
@attribute avgChurn numeric
@attribute IsBuggy {no,yes}

@data
0.034483,0.03125,0,0.000109,0.00031,no
0.12069,0.1875,0.666667,0.001306,0.001239,yes
0,0,0,0,0,no
0,0,0.333333,0,0,no
0.103448,0.09375,0.333333,0.000326,0.00093,no
0.034483,0.03125,0,0.000218,0.000465,yes
0,0,0,0.000109,0.00031,no
0.172414,0.15625,0.666667,0.000871,0.002479,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0.000218,0.000465,yes
0.224138,0.1875,0.666667,0.001523,0.001239,yes
0,0,0.333333,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0.333333,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.03125,0,0,0,no
0.172414,0.15625,0.333333,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.068966,0.0625,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.004135,0.005887,no
0,0,0,0.004135,0.005887,no
0,0,0,0.004135,0.005887,no
0,0,0,0.004135,0.005887,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,yes
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000218,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0.034483,0.03125,0,0,0,no
0.034483,0.03125,0,0,0,no
0.034483,0.03125,0,0.000109,0.00031,no
0.068966,0.0625,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,yes
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000218,0.00031,no
0,0,0,0,0,no
0.086207,0.0625,0,0,0,no
0.068966,0.0625,0,0,0,no
0.206897,0.125,0.333333,0,0,no
0.189655,0.125,0.333333,0,0,no
0.155172,0.09375,0.333333,0,0,no
0.051724,0.03125,0,0,0,no
0.155172,0.09375,0.666667,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0.068966,0.03125,0,0,0,no
0.051724,0.03125,0,0,0,yes
0,0,0,0,0,no
0.051724,0.03125,0,0,0,no
0,0,0.333333,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.103448,0.09375,0,0,0,no
0.068966,0.03125,0,0,0,no
0.068966,0.0625,0,0,0,no
0.051724,0.03125,0,0,0,no
0.293103,0.15625,0.333333,0,0,no
0.275862,0.15625,0.333333,0,0,yes
0.103448,0.0625,0,0,0,no
0.086207,0.0625,0,0,0,no
0.051724,0.03125,0,0,0,no
0,0,0,0,0,no
0.068966,0.0625,0,0,0,no
0.086207,0.03125,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.068966,0.03125,0.666667,0,0,no
0.051724,0.03125,0.333333,0,0,no
0.103448,0.0625,0.666667,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.206897,0.09375,0.333333,0,0,no
0.034483,0.03125,0.333333,0,0,no
0.068966,0.03125,0,0,0,no
0,0,0,0,0,no
0.137931,0.09375,0.666667,0,0,no
0.103448,0.0625,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0.189655,0.15625,0.333333,0,0,no
0.068966,0.0625,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0.333333,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.396552,0.3125,0.666667,0,0,no
0,0,0,0.000435,0.000775,no
0.068966,0.0625,0,0.000435,0.000361,yes
0.051724,0.03125,0.333333,0.000218,0.000775,no
0.034483,0.03125,0,0.000218,0.000775,yes
0.051724,0.03125,0.333333,0.000109,0.00031,no
0.034483,0,0,0.000218,0.00062,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0,0,no
0.12069,0.09375,0.333333,0.000218,0.00031,no
0.034483,0.03125,0.333333,0,0,no
0,0,0,0.007073,0.01007,no
0.051724,0.03125,0,0.007073,0.01007,no
0.051724,0.03125,0,0.007073,0.01007,no
0,0,0,0.007073,0.01007,no
0,0,0,0.007073,0.01007,no
0,0,0,0.007073,0.01007,no
0,0,0,0.002067,0.001007,no
0,0,0,0.003047,0.001162,no
0.051724,0.03125,0,0.001959,0.002789,no
0.034483,0.03125,0,0.001959,0.002789,no
0,0,0,0,0,no
0,0,0,0.00272,0.003873,no
0,0,0,0.00272,0.003873,no
0,0,0,0.00272,0.003873,no
0,0,0,0.000762,0.001084,no
0.172414,0.125,0,0.007835,0.005732,no
0,0,0,0.011425,0.005732,no
0.068966,0.0625,0,0.011425,0.005732,no
0.189655,0.15625,0.333333,0.010337,0.004802,no
0.189655,0.125,0.333333,0.005441,0.002293,yes
0.5,0.59375,0.666667,0,0,yes
0,0,0.333333,0,0,no
0.034483,0.03125,0.333333,0,0,yes
0,0,0.333333,0,0,no
0,0,0,0,0,no
0,0,0.333333,0,0,no
0.034483,0.03125,0.333333,0.007182,0.010225,no
0.086207,0.0625,0,0.007182,0.010225,no
0.034483,0.03125,0,0.007182,0.010225,no
0,0,0,0.007182,0.010225,no
0,0,0,0,0,no
0,0,0,0.000544,0.001084,no
0,0,0,0,0,no
0.017241,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0.206897,0.125,0.333333,0.000326,0.000465,no
0.103448,0.0625,0,0,0,no
0.068966,0.0625,0,0,0,no
0.689655,0.5,0.666667,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.068966,0.0625,0,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0.000653,0.00093,no
0,0,0,0.000871,0.000697,no
0.034483,0.03125,0,0.000762,0.001084,no
0.344828,0.21875,0.333333,0,0,no
0.086207,0.0625,0,0,0,no
0.172414,0.15625,0.333333,0.000109,0.00031,no
0.086207,0.0625,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000326,0.00093,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000871,0.000516,no
0,0,0.333333,0.001415,0.001084,no
0.172414,0.09375,0.333333,0.000979,0.00093,no
0.103448,0.03125,0.333333,0.000326,0.00093,yes
0.155172,0.09375,0.333333,0.000435,0.000569,no
0.103448,0.0625,0.666667,0.001088,0.001033,yes
0.103448,0.0625,0.666667,0.000653,0.000387,yes
0.034483,0.03125,0,0.000218,0.00062,no
0.051724,0.03125,0,0.000109,0.00031,no
0.034483,0.03125,0,0,0,no
0.068966,0.0625,0.333333,0.000109,0.00031,no
0.068966,0,0,0,0,no
0,0,0,0.000218,0.00031,no
0,0,0,0,0,yes
0.068966,0.0625,0,0.000326,0.000387,no
0.12069,0.15625,0.333333,0.000762,0.00093,yes
0.086207,0.1875,0.333333,0.00185,0.00129,yes
0.224138,0.1875,0.333333,0.000762,0.00093,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0.000326,0.000465,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.03125,0,0,0,no
0.017241,0.03125,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0.017241,0,0,0,0,no
0.068966,0.0625,0,0,0,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.137931,0.125,0.333333,0,0,no
0.068966,0.0625,0,0,0,no
0.068966,0.0625,0,0,0,no
0.068966,0.0625,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.103448,0.09375,0,0,0,no
0.068966,0.0625,0,0,0,no
0.12069,0.09375,0,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0.000109,0.00031,no
0.137931,0.125,0.333333,0.000762,0.001007,no
0,0,0,0.004353,0.00395,no
0,0,0,0.004026,0.003486,no
0.051724,0.03125,0.333333,0.005441,0.006662,no
0.086207,0.09375,0,0.00642,0.006093,yes
0.034483,0.03125,0.333333,0.008487,0.005693,yes
0.155172,0.125,0.333333,0.005114,0.002789,yes
0,0,0,0.000218,0.00031,no
0,0,0,0,0,yes
0.293103,0.1875,0.333333,0.000109,0.00031,yes
0,0,0,0,0,no
0.086207,0.0625,0,0.000109,0.00031,no
0.034483,0.03125,0,0.000544,0.001549,yes
0.068966,0.0625,0,0,0,no
0.034483,0.03125,0,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0.051724,0.03125,0,0.000435,0.00062,no
0,0,0,0.000109,0.00031,no
0.086207,0.0625,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0.12069,0.0625,0.666667,0,0,no
0.103448,0.0625,0.333333,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0.333333,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0.333333,0.000109,0.00031,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0.017241,0.03125,0,0,0,no
0.017241,0.03125,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0,0,no
0.051724,0.09375,0,0,0,no
0,0,0.333333,0.000218,0.00062,no
0.051724,0.09375,0,0,0,no
0.327586,0.3125,0.666667,0,0,no
0,0,0,0,0,no
0.034483,0.0625,0,0,0,no
0,0,0,0,0,no
0.034483,0.0625,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000218,0.00031,no
0,0,0,0.000218,0.00031,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.15625,0.333333,0.000435,0.00062,no
0,0,0,0.000109,0.00031,no
0.017241,0.03125,0,0,0,no
0.103448,0.09375,0,0.000218,0.00062,no
0,0,0,0,0,no
0.017241,0.03125,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,yes
0.068966,0.21875,0.333333,0.00185,0.001653,yes
0.12069,0.125,0.333333,0.002394,0.003331,yes
0.068966,0.09375,0.333333,0.000653,0.00093,no
