@relation 'Dataset-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute avgChurn numeric
@attribute stmtAdded numeric
@attribute CyclomaticComplexity numeric
@attribute CodeSmells numeric
@attribute maxChurn numeric
@attribute IsBuggy {no,yes}

@data
0.007901,0.02198,0.125,0.333333,0.024322,yes
0.007785,0.021763,0.03125,0.333333,0.024322,yes
0.009036,0.018934,0.03125,0,0.024322,yes
0.009411,0.024157,0.0625,0.333333,0.024322,yes
0.008017,0.022307,0.0625,0.333333,0.024322,yes
0.016835,0.028183,0.125,0.333333,0.024322,yes
0.015441,0.025354,0.09375,0.333333,0.024322,yes
0.012187,0.02198,0.03125,0,0.024322,yes
0.004493,0.001632,0.03125,0,0.004493,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000542,0.000435,0,0,0.00062,no
0.00031,0.000109,0,0,0.00031,no
0,0,0,0,0,no
0.001084,0.000653,0,0,0.001084,yes
0.001084,0.000653,0,0,0.001084,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0.03125,0,0,no
0.00031,0.000218,0.0625,0.333333,0.00031,no
0.003614,0.005658,0.25,0.333333,0.002634,no
0,0,0,0,0,yes
0,0,0,0,0,yes
0.000775,0.000653,0,0.333333,0.00062,no
0.000232,0.000218,0,0,0.00031,no
0.00093,0.000653,0,0,0.00093,no
0.002452,0.006202,0.3125,1,0.003098,yes
0.002556,0.00272,0.03125,0,0.003098,yes
0.003098,0.001959,0.03125,0,0.003098,no
0.00031,0.000109,0,0,0.00031,no
0.001394,0.000871,0.03125,0,0.00093,yes
0.00031,0.000109,0.1875,0.666667,0.00031,no
0.00031,0.000109,0,0,0.00031,no
0.001808,0.002176,0.09375,0.333333,0.003408,yes
0.001859,0.001632,0.03125,0,0.003408,yes
0,0,0.03125,0,0,yes
0.00062,0.000218,0,0,0.00062,no
0.00031,0.000109,0,0,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000387,0.000326,0,0,0.000465,no
0.002014,0.001415,0,0,0.002014,no
0.002014,0.001415,0,0,0.002014,no
0.000465,0.000435,0.03125,0,0.00031,no
0.00093,0.000326,0.15625,0.333333,0.00062,no
0.00031,0.000109,0.03125,0,0.00031,no
0.001239,0.001306,0.1875,0.666667,0.001549,yes
0,0,0,0,0,no
0,0,0,0.333333,0,no
0.00093,0.000326,0.09375,0.333333,0.00031,no
0.000465,0.000218,0.03125,0,0.000465,yes
0.00031,0.000109,0,0,0.00031,no
0.002479,0.000871,0.15625,0.666667,0.00062,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000465,0.000218,0.03125,0,0.000465,yes
0.001239,0.001523,0.1875,0.666667,0.001084,yes
0,0,0,0.333333,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.333333,0,no
0,0,0,0,0,no
